File: /Users/mythezone/miniconda3/envs/simlob312/lib/python3.12/site-packages/rich/__init__.py
  Line 1258: executed 3252 times, time 0.00010562 sec
  Line 1262: executed 3252 times, time 0.00010228 sec
  Line 1263: executed 3252 times, time 0.00009942 sec
  Line 1265: executed 786 times, time 0.00002313 sec
  Line 1280: executed 786 times, time 0.00001788 sec
  Line 1282: executed 23 times, time 0.00000095 sec
  Line 1287: executed 7 times, time 0.00000000 sec
  Line 1289: executed 7 times, time 0.00000000 sec
  Line 1291: executed 7 times, time 0.00000000 sec
  Line 1292: executed 1 times, time 0.00000000 sec
  Line 1294: executed 1 times, time 0.00000000 sec
  Line 1297: executed 7 times, time 0.00000095 sec
  Line 1305: executed 815 times, time 0.00003219 sec
  Line 1306: executed 815 times, time 0.00002575 sec
  Line 1307: executed 815 times, time 0.00002289 sec
  Line 1308: executed 815 times, time 0.00002170 sec
  Line 1309: executed 735 times, time 0.00002837 sec
  Line 1310: executed 32 times, time 0.00000095 sec
  Line 1312: executed 734 times, time 0.00002503 sec
  Line 1313: executed 5 times, time 0.00000095 sec
  Line 1314: executed 729 times, time 0.00001907 sec
  Line 1315: executed 729 times, time 0.00002551 sec
  Line 1316: executed 729 times, time 0.00002337 sec
  Line 1320: executed 729 times, time 0.00001574 sec
  Line 1321: executed 729 times, time 0.00002551 sec
  Line 1322: executed 809 times, time 0.00001693 sec
  Line 1323: executed 809 times, time 0.00002337 sec
  Line 1324: executed 23 times, time 0.00000000 sec
  Line 1326: executed 786 times, time 0.00002217 sec
  Line 1329: executed 722 times, time 0.00001884 sec
  Line 1330: executed 786 times, time 0.00002170 sec
  Line 1331: executed 786 times, time 0.00001884 sec
  Line 1333: executed 786 times, time 0.00002623 sec
  Line 1334: executed 722 times, time 0.00002742 sec
  Line 1335: executed 785 times, time 0.00002193 sec
  Line 1337: executed 721 times, time 0.00001979 sec
  Line 1338: executed 721 times, time 0.00002193 sec
  Line 1339: executed 721 times, time 0.00002074 sec
  Line 1343: executed 785 times, time 0.00002337 sec
  Line 1354: executed 817 times, time 0.00002098 sec
  Line 1355: executed 817 times, time 0.00003147 sec
  Line 1356: executed 2 times, time 0.00000000 sec
  Line 1357: executed 1634 times, time 0.00004196 sec
  Line 1358: executed 817 times, time 0.00002503 sec
  Line 1359: executed 817 times, time 0.00002456 sec
  Line 1360: executed 815 times, time 0.00002313 sec
  Line 1366: executed 2 times, time 0.00000000 sec
  Line 1368: executed 2 times, time 0.00000000 sec
  Line 1372: executed 2 times, time 0.00000000 sec
  Line 1384: executed 7 times, time 0.00000310 sec
  Line 1385: executed 7 times, time 0.00000000 sec
  Line 1386: executed 1 times, time 0.00000000 sec
  Line 1387: executed 7 times, time 0.00000000 sec
  Line 1400: executed 15277 times, time 0.00047064 sec
  Line 1401: executed 8524 times, time 0.00031209 sec
  Line 1408: executed 8524 times, time 0.00030780 sec
  Line 1409: executed 11 times, time 0.00000000 sec
  Line 1410: executed 16 times, time 0.00000000 sec
  Line 1411: executed 8 times, time 0.00000000 sec
  Line 1412: executed 8513 times, time 0.00027418 sec
  Line 1413: executed 192 times, time 0.00000811 sec
  Line 1414: executed 192 times, time 0.00000596 sec
  Line 1415: executed 192 times, time 0.00000310 sec
  Line 1416: executed 7 times, time 0.00000000 sec
  Line 1420: executed 7 times, time 0.00000000 sec
  Line 1421: executed 7 times, time 0.00000000 sec
  Line 1422: executed 7 times, time 0.00000119 sec
  Line 1424: executed 6753 times, time 0.00019050 sec

File: /Users/mythezone/miniconda3/envs/simlob312/lib/python3.12/site-packages/rich/console.py
  Line 165: executed 8 times, time 0.00000000 sec
  Line 166: executed 8 times, time 0.00000095 sec
  Line 167: executed 8 times, time 0.00000000 sec
  Line 183: executed 4 times, time 0.00000000 sec
  Line 184: executed 4 times, time 0.00000000 sec
  Line 186: executed 4 times, time 0.00000000 sec
  Line 188: executed 4 times, time 0.00000000 sec
  Line 190: executed 4 times, time 0.00000000 sec
  Line 191: executed 4 times, time 0.00000000 sec
  Line 192: executed 4 times, time 0.00000000 sec
  Line 193: executed 4 times, time 0.00000000 sec
  Line 194: executed 4 times, time 0.00000000 sec
  Line 195: executed 4 times, time 0.00000000 sec
  Line 196: executed 4 times, time 0.00000072 sec
  Line 197: executed 4 times, time 0.00000000 sec
  Line 198: executed 4 times, time 0.00000000 sec
  Line 199: executed 4 times, time 0.00000000 sec
  Line 200: executed 4 times, time 0.00000000 sec
  Line 201: executed 4 times, time 0.00000119 sec
  Line 203: executed 4 times, time 0.00000000 sec
  Line 204: executed 4 times, time 0.00000000 sec
  Line 238: executed 4 times, time 0.00000000 sec
  Line 239: executed 4 times, time 0.00000000 sec
  Line 240: executed 4 times, time 0.00000119 sec
  Line 296: executed 1 times, time 0.00000000 sec
  Line 301: executed 1 times, time 0.00000000 sec
  Line 519: executed 1 times, time 0.00000000 sec
  Line 520: executed 1 times, time 0.00000000 sec
  Line 521: executed 1 times, time 0.00000000 sec
  Line 522: executed 1 times, time 0.00000000 sec
  Line 590: executed 1 times, time 0.00000000 sec
  Line 666: executed 1 times, time 0.00000000 sec
  Line 669: executed 1 times, time 0.00000000 sec
  Line 670: executed 1 times, time 0.00000000 sec
  Line 684: executed 1 times, time 0.00000000 sec
  Line 685: executed 1 times, time 0.00000000 sec
  Line 686: executed 1 times, time 0.00000000 sec
  Line 687: executed 1 times, time 0.00000000 sec
  Line 688: executed 1 times, time 0.00000000 sec
  Line 689: executed 1 times, time 0.00000000 sec
  Line 690: executed 1 times, time 0.00000000 sec
  Line 691: executed 1 times, time 0.00000000 sec
  Line 692: executed 1 times, time 0.00000000 sec
  Line 696: executed 1 times, time 0.00000000 sec
  Line 697: executed 1 times, time 0.00000000 sec
  Line 698: executed 1 times, time 0.00000000 sec
  Line 700: executed 1 times, time 0.00000000 sec
  Line 701: executed 1 times, time 0.00000000 sec
  Line 702: executed 1 times, time 0.00000000 sec
  Line 705: executed 1 times, time 0.00000000 sec
  Line 706: executed 1 times, time 0.00000000 sec
  Line 707: executed 1 times, time 0.00000000 sec
  Line 709: executed 1 times, time 0.00000095 sec
  Line 711: executed 1 times, time 0.00000000 sec
  Line 712: executed 1 times, time 0.00000000 sec
  Line 715: executed 1 times, time 0.00000000 sec
  Line 716: executed 1 times, time 0.00000000 sec
  Line 717: executed 1 times, time 0.00000000 sec
  Line 719: executed 1 times, time 0.00000000 sec
  Line 721: executed 1 times, time 0.00000000 sec
  Line 722: executed 1 times, time 0.00000000 sec
  Line 726: executed 1 times, time 0.00000000 sec
  Line 727: executed 2 times, time 0.00000000 sec
  Line 728: executed 1 times, time 0.00000000 sec
  Line 729: executed 1 times, time 0.00000000 sec
  Line 730: executed 1 times, time 0.00000000 sec
  Line 732: executed 1 times, time 0.00000000 sec
  Line 733: executed 1 times, time 0.00000000 sec
  Line 734: executed 1 times, time 0.00000000 sec
  Line 735: executed 1 times, time 0.00000000 sec
  Line 736: executed 1 times, time 0.00000000 sec
  Line 737: executed 1 times, time 0.00000000 sec
  Line 738: executed 1 times, time 0.00000000 sec
  Line 740: executed 1 times, time 0.00000000 sec
  Line 741: executed 1 times, time 0.00000000 sec
  Line 742: executed 1 times, time 0.00000000 sec
  Line 746: executed 1 times, time 0.00000000 sec
  Line 747: executed 2 times, time 0.00000000 sec
  Line 748: executed 1 times, time 0.00000000 sec
  Line 750: executed 1 times, time 0.00000000 sec
  Line 751: executed 1 times, time 0.00000000 sec
  Line 752: executed 1 times, time 0.00000000 sec
  Line 753: executed 1 times, time 0.00000000 sec
  Line 761: executed 40 times, time 0.00000000 sec
  Line 762: executed 40 times, time 0.00000000 sec
  Line 763: executed 40 times, time 0.00000119 sec
  Line 765: executed 40 times, time 0.00000095 sec
  Line 775: executed 12 times, time 0.00000095 sec
  Line 780: executed 12 times, time 0.00000000 sec
  Line 784: executed 8 times, time 0.00000095 sec
  Line 793: executed 1 times, time 0.00000000 sec
  Line 795: executed 1 times, time 0.00000000 sec
  Line 797: executed 1 times, time 0.00000000 sec
  Line 807: executed 1 times, time 0.00000000 sec
  Line 808: executed 1 times, time 0.00000000 sec
  Line 809: executed 1 times, time 0.00000000 sec
  Line 817: executed 4 times, time 0.00000000 sec
