time,cash,total_value,positions
2019-01-02T10:50:18.120000,1000000.00,1000000.00,{}
2019-01-02T10:50:18.350000,1000000.00,1000000.00,{}
2019-01-02T10:50:21.160000,1000000.00,1000000.00,{}
2019-01-02T10:50:21.260000,1000000.00,1000000.00,{}
2019-01-02T10:50:21.410000,1000000.00,1000000.00,{}
2019-01-02T10:50:21.890000,1000000.00,1000000.00,{}
2019-01-02T10:50:22.140000,1000000.00,1000000.00,{}
2019-01-02T10:50:24.540000,1000000.00,1000000.00,{}
2019-01-02T10:50:25.390000,1000000.00,1000000.00,{}
2019-01-02T10:50:26.530000,1000000.00,1000000.00,{}
2019-01-02T10:50:27.240000,1000000.00,1000000.00,{}
2019-01-02T10:50:27.250000,1000000.00,1000000.00,{}
2019-01-02T10:50:27.720000,1000000.00,1000000.00,{}
2019-01-02T10:50:29.540000,1000000.00,1000000.00,{}
2019-01-02T10:50:30.730000,1000000.00,1000000.00,{}
2019-01-02T10:50:30.910000,1000000.00,1000000.00,{}
2019-01-02T10:50:31.210000,1000000.00,1000000.00,{}
2019-01-02T10:50:31.410000,1000000.00,1000000.00,{}
2019-01-02T10:50:32.240000,1000000.00,1000000.00,{}
2019-01-02T10:50:32.480000,1000000.00,1000000.00,{}
2019-01-02T10:50:32.990000,1000000.00,1000000.00,{}
2019-01-02T10:50:35.120000,1000000.00,1000000.00,{}
2019-01-02T10:50:36.400000,1000000.00,1000000.00,{}
2019-01-02T10:50:38.200000,1000000.00,1000000.00,{}
2019-01-02T10:50:38.890000,1000000.00,1000000.00,{}
2019-01-02T10:50:41.880000,1000000.00,1000000.00,{}
2019-01-02T10:50:42.240000,1000000.00,1000000.00,{}
2019-01-02T10:50:42.390000,1000000.00,1000000.00,{}
2019-01-02T10:50:43.190000,1000000.00,1000000.00,{}
2019-01-02T10:50:44.570000,1000000.00,1000000.00,{}
2019-01-02T10:50:45.420000,1000000.00,1000000.00,{}
2019-01-02T10:50:46.200000,1000000.00,1000000.00,{}
2019-01-02T10:50:46.480000,1000000.00,1000000.00,{}
2019-01-02T10:50:49.700000,1000000.00,1000000.00,{}
2019-01-02T10:50:49.760000,1000000.00,1000000.00,{}
2019-01-02T10:50:51.420000,1000000.00,1000000.00,{}
2019-01-02T10:50:53.100000,1000000.00,1000000.00,{}
2019-01-02T10:50:53.220000,1000000.00,1000000.00,{}
2019-01-02T10:50:53.410000,1000000.00,1000000.00,{}
2019-01-02T10:50:53.460000,1000000.00,1000000.00,{}
2019-01-02T10:50:54.240000,1000000.00,1000000.00,{}
2019-01-02T10:50:55.570000,1000000.00,1000000.00,{}
2019-01-02T10:50:56.030000,1000000.00,1000000.00,{}
2019-01-02T10:50:57.240000,1000000.00,1000000.00,{}
2019-01-02T10:51:01.350000,1000000.00,1000000.00,{}
2019-01-02T10:51:01.440000,1000000.00,1000000.00,{}
2019-01-02T10:51:02.250000,1000000.00,1000000.00,{}
2019-01-02T10:51:02.710000,1000000.00,1000000.00,{}
2019-01-02T10:51:03.470000,1000000.00,1000000.00,{}
2019-01-02T10:51:05.420000,1000000.00,1000000.00,{}
2019-01-02T10:51:05.860000,1000000.00,1000000.00,{}
2019-01-02T10:51:05.890000,1000000.00,1000000.00,{}
2019-01-02T10:51:06.320000,1000000.00,1000000.00,{}
2019-01-02T10:51:06.490000,1000000.00,1000000.00,{}
2019-01-02T10:51:11.710000,1000000.00,1000000.00,{}
2019-01-02T10:51:12.810000,1000000.00,1000000.00,{}
2019-01-02T10:51:13.780000,1000000.00,1000000.00,{}
2019-01-02T10:51:16.170000,1000000.00,1000000.00,{}
2019-01-02T10:51:16.340000,1000000.00,1000000.00,{}
2019-01-02T10:51:17.270000,1000000.00,1000000.00,{}
2019-01-02T10:51:18.270000,1000000.00,1000000.00,{}
2019-01-02T10:51:18.280000,1000000.00,1000000.00,{}
2019-01-02T10:51:19.470000,1000000.00,1000000.00,{}
2019-01-02T10:51:22.960000,1000000.00,1000000.00,{}
2019-01-02T10:51:27.340000,1000000.00,1000000.00,{}
2019-01-02T10:51:29.470000,1000000.00,1000000.00,{}
2019-01-02T10:51:31.740000,1000000.00,1000000.00,{}
2019-01-02T10:51:31.790000,1000000.00,1000000.00,{}
2019-01-02T10:51:32.160000,1000000.00,1000000.00,{}
2019-01-02T10:51:33.360000,1000000.00,1000000.00,{}
2019-01-02T10:51:33.760000,1000000.00,1000000.00,{}
2019-01-02T10:51:34.120000,1000000.00,1000000.00,{}
2019-01-02T10:51:36.670000,1000000.00,1000000.00,{}
2019-01-02T10:51:38.260000,1000000.00,1000000.00,{}
2019-01-02T10:51:38.990000,1000000.00,1000000.00,{}
2019-01-02T10:51:40.210000,1000000.00,1000000.00,{}
2019-01-02T10:51:42.840000,1000000.00,1000000.00,{}
2019-01-02T10:51:43.170000,1000000.00,1000000.00,{}
2019-01-02T10:51:43.480000,1000000.00,1000000.00,{}
2019-01-02T10:51:44.860000,1000000.00,1000000.00,{}
2019-01-02T10:51:45.400000,1000000.00,1000000.00,{}
2019-01-02T10:51:45.910000,1000000.00,1000000.00,{}
2019-01-02T10:51:47.180000,1000000.00,1000000.00,{}
2019-01-02T10:51:47.240000,1000000.00,1000000.00,{}
2019-01-02T10:51:48.730000,1000000.00,1000000.00,{}
2019-01-02T10:51:49.770000,1000000.00,1000000.00,{}
2019-01-02T10:51:50.030000,1000000.00,1000000.00,{}
2019-01-02T10:51:52.240000,1000000.00,1000000.00,{}
2019-01-02T10:51:59.260000,1000000.00,1000000.00,{}
2019-01-02T10:52:01.030000,1000000.00,1000000.00,{}
2019-01-02T10:52:01.460000,1000000.00,1000000.00,{}
2019-01-02T10:52:03.120000,1000000.00,1000000.00,{}
2019-01-02T10:52:06.720000,1000000.00,1000000.00,{}
2019-01-02T10:52:06.730000,1000000.00,1000000.00,{}
2019-01-02T10:52:06.880000,1000000.00,1000000.00,{}
2019-01-02T10:52:08.530000,1000000.00,1000000.00,{}
2019-01-02T10:52:12.190000,1000000.00,1000000.00,{}
2019-01-02T10:52:12.880000,1000000.00,1000000.00,{}
2019-01-02T10:52:13.130000,1000000.00,1000000.00,{}
2019-01-02T10:52:14.410000,1000000.00,1000000.00,{}
2019-01-02T10:52:15.130000,1000000.00,1000000.00,{}
2019-01-02T10:52:16.660000,1000000.00,1000000.00,{}
2019-01-02T10:52:18.000000,1000000.00,1000000.00,{}
2019-01-02T10:52:19.160000,1000000.00,1000000.00,{}
2019-01-02T10:52:21.920000,1000000.00,1000000.00,{}
2019-01-02T10:52:22.370000,1000000.00,1000000.00,{}
2019-01-02T10:52:22.910000,1000000.00,1000000.00,{}
2019-01-02T10:52:23.540000,1000000.00,1000000.00,{}
2019-01-02T10:52:25.120000,1000000.00,1000000.00,{}
2019-01-02T10:52:30.040000,1000000.00,1000000.00,{}
2019-01-02T10:52:32.330000,1000000.00,1000000.00,{}
2019-01-02T10:52:33.350000,1000000.00,1000000.00,{}
2019-01-02T10:52:34.480000,1000000.00,1000000.00,{}
2019-01-02T10:52:34.800000,1000000.00,1000000.00,{}
2019-01-02T10:52:35.030000,1000000.00,1000000.00,{}
2019-01-02T10:52:35.480000,1000000.00,1000000.00,{}
2019-01-02T10:52:35.780000,1000000.00,1000000.00,{}
2019-01-02T10:52:36.970000,1000000.00,1000000.00,{}
2019-01-02T10:52:38.760000,1000000.00,1000000.00,{}
2019-01-02T10:52:39.410000,1000000.00,1000000.00,{}
2019-01-02T10:52:41.220000,1000000.00,1000000.00,{}
2019-01-02T10:52:41.350000,1000000.00,1000000.00,{}
2019-01-02T10:52:41.810000,1000000.00,1000000.00,{}
2019-01-02T10:52:42.350000,1000000.00,1000000.00,{}
2019-01-02T10:52:42.390000,1000000.00,1000000.00,{}
2019-01-02T10:52:42.900000,1000000.00,1000000.00,{}
2019-01-02T10:52:43.360000,1000000.00,1000000.00,{}
2019-01-02T10:52:45.550000,1000000.00,1000000.00,{}
2019-01-02T10:52:46.190000,1000000.00,1000000.00,{}
2019-01-02T10:52:46.380000,1000000.00,1000000.00,{}
2019-01-02T10:52:46.620000,1000000.00,1000000.00,{}
2019-01-02T10:52:46.900000,1000000.00,1000000.00,{}
2019-01-02T10:52:47.250000,1000000.00,1000000.00,{}
2019-01-02T10:52:47.260000,1000000.00,1000000.00,{}
2019-01-02T10:52:48.910000,1000000.00,1000000.00,{}
2019-01-02T10:52:48.940000,1000000.00,1000000.00,{}
2019-01-02T10:52:49.940000,1000000.00,1000000.00,{}
2019-01-02T10:52:50.250000,1000000.00,1000000.00,{}
2019-01-02T10:52:50.600000,1000000.00,1000000.00,{}
2019-01-02T10:52:52.280000,1000000.00,1000000.00,{}
2019-01-02T10:52:53.000000,1000000.00,1000000.00,{}
2019-01-02T10:52:55.070000,1000000.00,1000000.00,{}
2019-01-02T10:52:56.540000,1000000.00,1000000.00,{}
2019-01-02T10:52:57.430000,1000000.00,1000000.00,{}
2019-01-02T10:53:01.330000,1000000.00,1000000.00,{}
2019-01-02T10:53:01.890000,1000000.00,1000000.00,{}
2019-01-02T10:53:03.740000,1000000.00,1000000.00,{}
2019-01-02T10:53:07.240000,1000000.00,1000000.00,{}
2019-01-02T10:53:07.420000,1000000.00,1000000.00,{}
2019-01-02T10:53:12.520000,1000000.00,1000000.00,{}
2019-01-02T10:53:12.920000,1000000.00,1000000.00,{}
2019-01-02T10:53:14.010000,1000000.00,1000000.00,{}
2019-01-02T10:53:17.940000,1000000.00,1000000.00,{}
2019-01-02T10:53:18.430000,1000000.00,1000000.00,{}
2019-01-02T10:53:23.540000,1000000.00,1000000.00,{}
2019-01-02T10:53:25.130000,1000000.00,1000000.00,{}
